Positive	Negative	Text
3	-2	### SUMMARY This pr enhances homepage with sticky states for the tables and add loadingcards states and fix padding issues on minified cards.  ### BEFORE/AFTER SCREENSHOTS OR ANIMATED GIF  https://user-images.githubusercontent.com/17326228/128440733-95366285-251f-416b-8f24-95909c9f1f65.mov    ### TESTING INSTRUCTIONS Go to homepage and and clip collapse tables to ensure they stick.  ### ADDITIONAL INFORMATION <!--- Check any relevant boxes with "x" --> <!--- HINT: Include "Fixes #nnn" if you are fixing an existing issue --> - [ ] Has associated issue: - [ ] Changes UI - [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))   - [ ] Migration is atomic, supports rollback & is backwards-compatible   - [ ] Confirm DB migration upgrade and downgrade tested   - [ ] Runtime estimates and downtime expectations provided - [ ] Introduces new feature or API - [ ] Removes existing feature or API  
2	-2	# [Codecov](https://codecov.io/gh/apache/superset/pull/16102?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) Report > Merging [#16102](https://codecov.io/gh/apache/superset/pull/16102?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (4c2d99a) into [master](https://codecov.io/gh/apache/superset/commit/11a2d4dfdd42bed78c913d0b2b1563e077425acf?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (11a2d4d) will **decrease** coverage by `0.03%`. > The diff coverage is `92.30%`.  [![Impacted file tree graph](https://codecov.io/gh/apache/superset/pull/16102/graphs/tree.svg?width=650&height=150&src=pr&token=KsB0fHcx6l&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)](https://codecov.io/gh/apache/superset/pull/16102?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)  ```diff @@            Coverage Diff             @@ ##           master   #16102      +/-   ## ========================================== - Coverage   76.87%   76.83%   -0.04%      ==========================================   Files         995      995                 Lines       52876    52916      +40        Branches     6720     6734      +14      ========================================== + Hits        40647    40660      +13      - Misses      12003    12031      +28      + Partials      226      225       -1      ```  | Flag | Coverage Δ | | |---|---|---| | javascript | `71.21% <92.30%> (-0.07%)` | :arrow_down: |  Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#carryforward-flags-in-the-pull-request-comment) to find out more.  | [Impacted Files](https://codecov.io/gh/apache/superset/pull/16102?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | Coverage Δ | | |---|---|---| | [...-frontend/src/views/CRUD/welcome/ActivityTable.tsx](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL3ZpZXdzL0NSVUQvd2VsY29tZS9BY3Rpdml0eVRhYmxlLnRzeA==) | `78.26% <50.00%> (ø)` | | | [...perset-frontend/src/views/CRUD/welcome/Welcome.tsx](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL3ZpZXdzL0NSVUQvd2VsY29tZS9XZWxjb21lLnRzeA==) | `82.96% <93.33%> (+0.01%)` | :arrow_up: | | [superset-frontend/src/views/CRUD/storageKeys.ts](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL3ZpZXdzL0NSVUQvc3RvcmFnZUtleXMudHM=) | `100.00% <100.00%> (ø)` | | | [superset-frontend/src/views/CRUD/utils.tsx](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL3ZpZXdzL0NSVUQvdXRpbHMudHN4) | `68.85% <100.00%> (+0.25%)` | :arrow_up: | | [...set-frontend/src/views/CRUD/welcome/ChartTable.tsx](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL3ZpZXdzL0NSVUQvd2VsY29tZS9DaGFydFRhYmxlLnRzeA==) | `75.00% <100.00%> (+0.31%)` | :arrow_up: | | [...frontend/src/views/CRUD/welcome/DashboardTable.tsx](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL3ZpZXdzL0NSVUQvd2VsY29tZS9EYXNoYm9hcmRUYWJsZS50c3g=) | `66.30% <100.00%> (+0.37%)` | :arrow_up: | | [...t-frontend/src/views/CRUD/welcome/SavedQueries.tsx](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL3ZpZXdzL0NSVUQvd2VsY29tZS9TYXZlZFF1ZXJpZXMudHN4) | `59.59% <100.00%> (ø)` | | | [...ontrols/DndColumnSelectControl/DndColumnSelect.tsx](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2V4cGxvcmUvY29tcG9uZW50cy9jb250cm9scy9EbmRDb2x1bW5TZWxlY3RDb250cm9sL0RuZENvbHVtblNlbGVjdC50c3g=) | `47.36% <0.00%> (-13.75%)` | :arrow_down: | | [...src/dashboard/components/PropertiesModal/index.jsx](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL1Byb3BlcnRpZXNNb2RhbC9pbmRleC5qc3g=) | `83.09% <0.00%> (-2.52%)` | :arrow_down: | | [...plore/components/controls/OptionControls/index.tsx](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2V4cGxvcmUvY29tcG9uZW50cy9jb250cm9scy9PcHRpb25Db250cm9scy9pbmRleC50c3g=) | `88.88% <0.00%> (-1.54%)` | :arrow_down: | | ... and [16 more](https://codecov.io/gh/apache/superset/pull/16102/diff?src=pr&el=tree-more&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | |  ------  [Continue to review full report at Codecov](https://codecov.io/gh/apache/superset/pull/16102?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data` > Powered by [Codecov](https://codecov.io/gh/apache/superset/pull/16102?src=pr&el=footer&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Last update [11a2d4d...4c2d99a](https://codecov.io/gh/apache/superset/pull/16102?src=pr&el=lastupdated&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation).  
2	-1	/testenv up FEATURE_THUMBNAILS=true 
2	-1	@pkdotson Ephemeral environment spinning up at http://35.164.170.6:8080. Credentials are `admin`/`admin`. Please allow several minutes for bootstrapping and startup. 
1	-2	@pkdotson When the panels are collapsed and you refresh, it first renders all the cards and then collapses. Can we make it not render any panels for collapsed cards? 
2	-1	/testenv up FEATURE_THUMBNAILS=true 
2	-1	@pkdotson Ephemeral environment spinning up at http://34.217.57.236:8080. Credentials are `admin`/`admin`. Please allow several minutes for bootstrapping and startup. 
4	-2	Looking good! And approving! I made one more comment about a const, and also noticed this little issue, which could be tackled in a separate PR or this one (since the issue is ALMOST fixed by this PR):  As you can barely see in this GIF, when changing tabs, the loading state looks great, but goes higher up very briefly because the row containing the tabs very briefly disappears from the layout when switching tabs. If that disappearance can be solved, so it just changes without "blinking" we should be in awesome shape! Again, maybe this is a follow-up PR and not a blocker for this one. CC @junlincc for any ticketing/prioritization awareness.  ![Aug-09-2021 14-20-12](https://user-images.githubusercontent.com/812905/128770146-feca4563-0652-42a5-96b9-ef0224ff05c1.gif)  
1	-1	Ephemeral environment shutdown and build artifacts deleted. 
1	-1	🏷 2021.31 
